split,query_index,ids
tuning,56,60388;62044;22567;22798;22720;18608;19274;14572;36480;54564
tuning,57,85552;57089;85088;996;48834;5844;16100;17052;82682;84300
tuning,58,36743;2144;2191;84276;11698;10256;35956;10540;79494;11696
tuning,59,50190;90712;44828;9334;93591;75178;9293;11150;15282;85110
tuning,60,16990;56506;39105;95990;31368;7326;3931;95390;84806;86548
tuning,61,67668;39642;37623;81534;86628;38308;39322;94068;59256;15006
tuning,62,23234;60662;35974;86580;61880;85765;90028;9064;96948;63924
tuning,63,37426;67638;21260;28507;99678;32320;60333;43054;26739;4854
tuning,64,97120;1080;6234;8378;6066;522;2344;574;27626;85376
tuning,65,93798;89151;8550;73611;80540;6536;86180;81046;88461;98636
tuning,66,88972;96484;76563;87201;90112;17056;71644;56400;77028;16215
tuning,67,34504;736;26240;55916;6428;78402;52462;3094;17608;26936
tuning,68,34444;99821;3178;13890;28376;26032;93258;37554;99681;35456
tuning,69,59256;32510;47556;19012;7150;89658;5082;80668;45652;45237
tuning,70,98690;85048;79764;99344;57629;46700;12040;62528;59882;96445
tuning,71,26229;4255;35928;71142;23066;19788;28912;14844;19524;63598
tuning,72,41619;92864;40654;66538;41244;92976;53398;43594;64090;12254
tuning,73,99000;46960;35508;22587;49452;19760;37197;45000;66618;17924
tuning,74,4243;352;15740;11372;12280;9055;17474;73570;49308;1906
tuning,75,99958;96114;816;26156;45638;62713;64674;300;59734;43010
tuning,76,99000;46960;35508;22587;49452;19760;37197;45000;18200;66618
tuning,77,12254;12197;52334;11516;1064;1659;12864;41619;49806;40646
tuning,78,18904;27648;16631;24016;61945;95621;63924;15822;83100;85765
tuning,79,2564;95274;66034;63710;93654;95081;46336;87728;1176;59762
tuning,80,84870;15768;60204;95606;20848;14454;23746;46758;49188;4776
tuning,81,58708;9890;63598;88114;32719;93037;14608;91374;54786;57216
tuning,82,59898;58732;60336;26941;9730;56155;74222;54788;56322;40280
tuning,83,44954;46022;45026;45930;45875;1000;42618;44898;13166;29880
tuning,84,66538;40654;41619;41244;53398;92864;92976;43594;53208;12254
tuning,85,34566;10980;54692;54572;19788;73762;66364;51030;20518;34790
tuning,86,54720;27224;9148;66212;43143;9994;14274;65488;16438;88114
tuning,87,34566;10980;22360;73762;56588;45791;19788;51030;13975;10619
tuning,88,15822;61945;85765;86597;24162;24016;23822;18904;9064;61880
tuning,89,60420;61118;60496;26116;63726;15740;60874;60465;66748;21828
tuning,90,420;9810;59702;68160;5428;53707;87336;10508;82292;7822
tuning,91,99859;74555;9880;15604;58924;9786;5344;92460;5172;42248
tuning,92,99654;40868;13166;84748;30166;28434;30054;10150;41816;93680
tuning,93,41060;24114;10316;33758;7370;16210;90814;91436;23061;8760
tuning,94,99990;2894;38746;16778;6278;73286;85926;66952;25162;4196
tuning,95,2935;75952;77378;49240;4674;52248;59776;96308;91783;43749
tuning,96,67468;16438;42264;65488;54720;9148;43143;79560;64376;16558
tuning,97,86016;49980;86259;45174;41568;58538;29186;10980;168;32719
tuning,98,2068;78930;91243;92050;98424;98102;93036;99516;65880;96603
tuning,99,99891;52234;14934;34372;23859;30186;73644;73307;11014;25272
tuning,100,57290;16010;50426;51004;2267;79524;79294;15966;50244;2230
tuning,101,99020;99564;99749;31035;62434;43354;30194;63343;74396;50070
tuning,102,74396;71876;57078;25047;99324;68040;68170;63343;37228;14062
tuning,103,85328;72190;79358;38920;70131;75062;29544;71876;63343;28900
tuning,104,92650;19870;35114;16428;61266;49614;23004;41581;87266;61290
tuning,105,94748;94570;22030;75354;86754;94434;8163;89917;84240;91918
tuning,106,99916;24362;23872;28812;9762;24772;54014;54086;22816;95153
tuning,107,28948;27876;76532;85036;71218;23272;30823;33151;21712;64026
tuning,108,13540;13023;94989;25126;34504;28118;8786;53154;32356;58388
tuning,109,68546;74076;78204;67178;51324;22718;41768;51498;74836;42386
tuning,110,99958;96114;26156;4926;300;816;45638;22128;22618;15006
tuning,111,26644;72950;16040;15748;15840;70974;19384;43920;74110;15452
tuning,112,30898;23726;26886;33165;7988;55474;33939;58173;73438;36052
tuning,113,9294;71671;9590;15450;8846;42683;9486;21547;88918;88944
tuning,114,9870;4813;5659;1579;1402;1396;96169;2062;42442;37719
tuning,115,51546;11704;62112;98104;83741;89240;19831;90476;99702;5536
tuning,116,26146;92428;21398;34566;34790;49308;68698;47532;87818;83638
tuning,117,82310;83592;73826;82328;72686;84620;49324;37432;14778;37498
tuning,118,73826;82310;84620;83592;13188;12104;61528;95582;42563;12322
tuning,119,440;45341;352;10748;17160;87798;10903;89373;1906;82078
tuning,120,44446;33206;429;4710;16114;41770;13212;63455;3620;65880
tuning,121,11764;84870;22128;12134;9726;7712;46058;61398;86723;398
tuning,122,24016;23822;98620;24162;72718;47090;55362;7022;18430;76932
tuning,123,10576;33882;34716;23749;21986;32932;67786;42554;93974;22532
tuning,124,97959;99317;99516;99476;98006;63148;22784;68289;28178;9302
tuning,125,35498;99838;43600;1215;92286;10988;13335;27195;8360;8907
tuning,126,5942;26941;36412;48942;56322;39660;73112;38482;58584;38338
tuning,127,99498;47582;104;98080;97248;28034;68945;102;86510;29068
tuning,128,48690;27876;6851;59667;88670;21362;2630;48180;18878;39820
tuning,129,1318;52271;32428;12134;90764;55830;67762;3000;10120;90
tuning,130,98272;39630;7195;29270;8474;35106;16509;25854;74110;23790
tuning,131,46022;44954;44898;45930;45026;1000;32960;30359;29880;10056
tuning,132,53787;61612;73307;73438;61632;73590;73644;57543;37938;9124
tuning,133,27434;4030;84806;37426;67762;90764;90;22560;88382;50698
tuning,134,4169;39964;29548;94242;95932;8620;83033;97724;39873;39808
tuning,135,5222;41438;40388;41066;65704;9440;41146;3108;40779;72210
tuning,136,91890;91918;89917;98094;84240;22030;90148;8163;89932;86754
tuning,137,99821;684;35547;1796;4590;14160;34542;13890;99681;82344
tuning,138,55450;62162;9952;25155;10116;92467;51564;97254;50812;81268
tuning,139,99709;55349;95278;23196;59667;26372;3462;12347;24208;54194
tuning,140,57410;20756;57546;48589;86150;44828;26052;80286;50665;22982
tuning,141,15586;15552;41498;58924;27204;44131;27042;51148;72828;5172
tuning,142,97422;87572;99344;59882;79764;87344;57629;95186;54640;92844
tuning,143,91992;63030;96718;23671;19133;23554;19050;92700;23824;23754
tuning,144,10972;9654;99686;64902;98524;91462;53274;72528;61967;30288
tuning,145,41060;10316;59770;24114;14902;43918;45100;46426;62713;10832
tuning,146,12079;16218;41368;99030;32026;96146;21090;31802;98166;16215
tuning,147,94002;96372;95414;14980;4309;70237;33166;5296;754;43091
tuning,148,98878;18352;60333;3828;22306;18640;53332;9870;64852;25830
tuning,149,49470;49788;49044;49980;25108;3140;29186;25056;26338;50974
tuning,150,22698;84344;41079;4100;14035;2098;50128;53766;58574;11392
tuning,151,94954;15386;95030;558;75118;1756;57757;95476;68170;24263
tuning,152,81338;81768;72484;99472;74808;95769;80230;39576;11678;12632
tuning,153,30443;87266;30554;8198;74757;62322;8982;15282;10675;96988
tuning,154,94954;32080;95030;5149;41570;25047;35478;54010;93524;37636
tuning,155,98572;69106;51802;97920;29872;34988;1695;56112;81268;46339
tuning,156,60592;62912;30174;90148;17819;84240;98094;86754;81064;89557
tuning,157,93236;67772;52439;88088;18469;90275;39618;14920;63168;49499
tuning,158,18706;62400;90500;68332;68296;88526;84834;33050;64536;12632
tuning,159,57410;20756;57546;26052;80286;50954;85112;48589;41334;85152
tuning,160,88461;86180;87710;88702;87900;87618;93800;83020;94034;82041
tuning,161,29670;51324;96146;22718;21090;29314;99030;78590;81778;18346
tuning,162,19012;27876;23196;24208;18220;45342;19768;32536;51572;4795
tuning,163,22749;60216;97906;70736;46296;23527;52631;85044;87576;22896
tuning,164,64026;13118;42790;5330;48503;7472;29186;9552;93011;16330
tuning,165,73307;57543;53787;73644;73438;73418;73590;61612;71404;9124
tuning,166,12520;906;69626;42394;36364;53274;22998;97111;11978;73044
tuning,167,29186;49980;81496;27124;58538;82214;50974;64288;29250;28528
tuning,168,55680;81840;96238;38834;92670;62182;99476;16380;99516;31002
tuning,169,96266;40714;41602;47178;75117;21134;23758;54720;95606;50826
tuning,170,49470;49788;49044;43874;85818;49980;29186;3140;50974;40714
tuning,171,72856;55450;92467;50812;9952;97254;59432;63951;51174;16374
tuning,172,7456;60858;4781;13044;11694;26919;30867;35884;46254;56882
tuning,173,3975;8912;55362;4332;82505;36862;92736;4666;91852;4588
tuning,174,24683;6362;16802;6420;61174;25580;5946;77496;98476;77306
tuning,175,51324;22718;96146;51498;1322;99030;87902;47490;18346;40014
tuning,176,15394;3459;38680;37248;72210;34390;98564;98461;6184;1014
tuning,177,79485;32958;79807;28298;50771;98946;87946;99234;30244;88595
tuning,178,75176;41472;33838;85110;5323;15282;80338;50484;75294;23496
tuning,179,38482;57502;52370;97268;55219;58172;20214;55338;37864;97374
tuning,180,46748;96528;62400;2734;28310;20427;23870;88088;78852;32642
tuning,181,94997;18780;18602;19576;38928;18726;31850;18932;39044;12422
tuning,182,97738;10624;11075;10438;9354;11828;9523;9302;12614;11308
tuning,183,30634;31945;31330;32748;29378;32340;9826;89352;9780;46856
tuning,184,62112;39105;40373;83741;34298;60098;51546;34653;62694;5498
tuning,185,51546;11704;83741;62112;19831;16036;5536;17484;89001;98104
tuning,186,92190;39308;60282;5536;94748;56742;39224;83741;81170;17504
tuning,187,99780;65802;23496;65444;49413;1170;17458;16064;69226;69156
tuning,188,20232;19048;4492;28682;58294;59656;74960;92467;77624;81322
tuning,189,35728;48806;48919;48984;55962;35572;6326;32020;85012;31080
tuning,190,99434;340;376;63880;88625;69619;21016;36044;19674;88388
tuning,191,66595;44279;43631;37636;80810;36304;81085;68040;22808;28972
tuning,192,99020;30194;28988;70131;99749;43354;21356;63343;33598;39286
tuning,193,28948;37964;15884;99368;2962;94068;37623;3007;16666;89125
tuning,194,76563;88972;96484;26528;87201;90112;77028;17056;35494;71644
tuning,195,83674;30596;17794;58990;56964;34226;34104;30248;56024;52340
tuning,196,14843;14895;49240;58776;33782;99994;31264;429;60342;1843
tuning,197,9552;34026;17926;41171;41351;27564;9890;2890;42790;318
tuning,198,63880;33165;7988;36592;340;80112;36044;77510;79990;376
tuning,199,55516;35922;59166;27574;160;30152;79560;77480;43486;58180
tuning,200,14062;78702;44279;27266;79952;99089;43631;44266;81085;43528
tuning,201,31035;77402;99564;99020;63343;99749;62434;37228;16634;69106
tuning,202,99472;95769;81338;81768;72484;2996;8276;86224;61530;23484
tuning,203,87127;58331;41861;21022;36888;25368;97742;64494;12984;70237
tuning,204,702;27124;19990;27988;12127;3518;10122;26338;3140;34791
tuning,205,30672;26774;63990;9530;10630;30707;7338;92460;54572;63649
tuning,206,55334;44627;29894;28930;34856;44730;43850;29349;28555;44682
tuning,207,3016;1456;397;68160;87336;38750;79186;66748;12946;91884
tuning,208,47200;61266;77402;20960;90496;57124;9468;57078;28988;14918
tuning,209,99020;99749;99564;43354;31035;62434;7226;91580;74396;63343
tuning,210,94434;81064;632;93591;80266;59964;9170;98210;98072;84240
tuning,211,58388;13540;34504;13023;25126;31819;94989;90720;50491;28960
tuning,212,15394;37248;9606;38680;3459;55652;81948;16666;22356;38220
tuning,213,44954;46022;45026;45930;44898;38532;45875;30359;1000;29880
tuning,214,28196;22120;73418;31126;57216;28878;74260;31560;67531;64688
tuning,215,99994;97510;27478;2068;8711;95082;60878;90150;67786;91243
tuning,216,71470;15709;16116;72527;71330;84858;22262;68178;28190;16714
tuning,217,83276;64750;65656;83502;92157;64404;63649;68794;69697;68842
tuning,218,94002;95414;96372;22416;69461;79781;51508;64848;16330;32302
tuning,219,96266;75117;41602;14162;23854;30088;43143;79592;20944;36200
tuning,220,98810;64852;13610;354;45791;99678;22620;11178;8912;18640
tuning,221,18932;18726;18780;18602;19576;94997;19850;39008;28019;22399
tuning,222,68974;89151;20532;32416;8712;6210;1472;2870;7636;29278
tuning,223,44954;46022;45930;44898;45026;38532;30359;45875;32960;29880
tuning,224,91243;2068;98102;78930;8607;760;98424;65880;96603;92050
tuning,225,45102;40916;59130;46160;53198;60650;52272;60646;50290;46868
tuning,226,35521;16540;10698;15794;550;15994;95623;29830;10506;35104
tuning,227,13980;15395;17572;9526;9622;10676;11133;17312;15392;10052
tuning,228,38524;38928;19850;19576;39008;9443;22399;18364;21788;19254
tuning,229,35521;16540;10698;15794;550;15994;10506;95623;29830;14789
tuning,230,23750;25764;37248;38184;38220;60734;38680;61410;98924;15394
tuning,231,62764;24043;39382;19961;40254;27682;98572;22090;34988;31790
tuning,232,41060;10316;24114;43918;59770;14902;23061;45100;62713;60140
tuning,233,29108;5330;94877;72954;26810;89808;19828;26994;19680;7472
tuning,234,1526;56152;1094;34010;13084;2042;84164;20086;71370;9438
tuning,235,85328;79358;38920;75062;72190;70131;79646;71876;68170;77402
tuning,236,33050;97389;42868;10540;62330;7188;42652;78702;92650;70514
tuning,237,31035;99564;62434;99749;30194;99020;50070;4496;77402;43354
tuning,238,89838;97576;17368;39640;39576;39949;69878;32016;18699;56258
tuning,239,35254;58184;32038;27158;54846;990;92036;34150;59456;29590
tuning,240,87201;86525;88972;76563;90112;96484;35494;26528;39084;77028
tuning,241,24362;99916;23872;9762;24772;28812;23558;22816;54014;54086
tuning,242,94662;90350;86180;10314;6536;98636;93798;98700;83820;90614
tuning,243,18126;77150;95153;36378;10006;78154;57906;87064;5366;57784
tuning,244,20424;66467;55349;62250;35814;25462;39831;54895;41090;37582
tuning,245,10624;97738;10438;11828;9523;11075;9354;9302;83702;11308
tuning,246,41060;90814;79014;43918;24114;10316;75698;96418;58370;14902
tuning,247,43512;7386;24906;34263;35884;68102;62102;71154;63910;49838
tuning,248,39964;4169;31818;39808;8620;29548;4376;95932;94242;38706
tuning,249,82682;5844;85552;98853;56460;85088;17052;6134;15419;19526
tuning,250,46022;44954;44898;45930;30359;45026;38532;45875;32960;1000
tuning,251,99434;340;376;63880;21016;53421;72758;36044;88625;76972
tuning,252,34263;33628;46104;43570;13182;5490;91996;5498;84286;65269
tuning,253,30704;29304;20427;13182;56424;64536;20662;8982;5490;1148
tuning,254,24521;15967;34918;95384;15594;24650;22948;47684;2430;16948
tuning,255,99916;24362;9762;28812;23872;54014;95153;6152;22816;24772
tuning,256,13980;15395;17572;9526;9622;11133;15392;10676;10176;10052
tuning,257,34918;22948;24521;71488;95384;15967;47684;27111;29596;35156
tuning,258,99472;95769;81768;81338;72484;5362;97530;71970;44768;74511
tuning,259,97124;20376;13718;78552;79328;1530;55150;13978;41768;33556
tuning,260,1080;574;97120;2344;6234;27626;8378;85376;62213;522
tuning,261,7434;7410;6410;97961;98636;98700;67790;51786;10314;36390
tuning,262,99821;684;37220;2538;69818;93258;13890;59164;37554;40228
tuning,263,19967;89658;42716;70448;88846;85012;88296;63346;28332;31080
tuning,264,28948;27876;33151;28636;85036;23272;30823;85087;41993;21712
tuning,265,6440;50216;90150;41422;50268;26478;63534;14171;5626;30447
tuning,266,7276;12764;35960;91500;83586;91396;46388;7064;6552;11136
tuning,267,99020;99749;31035;62434;41581;15334;43354;61290;74396;99564
tuning,268,46104;34263;5490;33628;43512;4536;32282;61188;70864;25612
tuning,269,35494;87201;88972;7636;8604;7412;59280;7258;17056;25518
tuning,270,9526;11133;9622;10676;9642;18100;15392;10052;17572;10176
tuning,271,24520;25430;31275;32564;25076;36448;53628;93768;32828;43768
tuning,272,8846;28286;9104;9590;72954;9260;71671;59171;26943;1579
tuning,273,4176;46590;1594;30274;57566;4116;48832;61256;9734;50738
tuning,274,99384;27814;6056;5024;3894;50298;66952;22416;33776;47660
tuning,275,41060;14902;24114;23061;10316;59770;43918;65410;59734;59168
tuning,276,99994;60878;90150;27604;85524;33782;8711;97510;9708;44595
tuning,277,15709;16116;22262;84858;52631;71470;52329;51885;78760;70736
tuning,278,64750;83276;64404;69697;65656;63649;83502;92157;68794;8252
tuning,279,53787;57543;73307;73438;73418;73590;9124;73098;73644;71404
tuning,280,45616;8808;59598;31139;1175;63652;8790;10507;8688;64238
tuning,281,97959;99516;99317;99476;98006;93036;53798;53799;2068;75834
tuning,282,63880;99434;88625;340;376;69619;36592;36044;60673;76972
tuning,283,104;99498;90647;47396;19760;48236;18200;28854;48020;74508
tuning,284,16438;43143;65488;16558;75117;64376;54720;42264;79560;88114
tuning,285,59776;16658;2314;9895;7126;292;96922;27616;72686;12856
tuning,286,14726;95030;47424;80692;95476;28188;74334;97259;98276;94954
tuning,287,14062;87314;80810;68040;97294;91580;37228;66595;68042;44279
tuning,288,62400;18699;55576;89838;78164;22494;99539;40264;24874;83094
tuning,289,17819;58429;75354;87370;16776;62912;1422;60592;10136;80408
tuning,290,72458;98636;98700;70662;44788;16714;97961;59164;22110;58240
tuning,291,99472;81338;95769;81768;72484;32282;43512;20662;5490;2373
tuning,292,15394;3459;16666;9606;1146;39102;20364;25018;11070;60251
tuning,293,32916;32687;6008;58619;81328;18240;39979;87900;60388;65974
tuning,294,99709;54194;26372;3462;95278;55349;12347;22160;75564;496
tuning,295,34918;15967;71488;24521;22948;95384;24650;15594;16948;10174
tuning,296,90146;1268;724;11506;49174;20424;34454;15395;84206;35968
tuning,297,87106;83598;56414;92164;83556;13514;12492;89916;496;82520
tuning,298,23196;18220;24208;22160;19768;26574;26372;42789;5895;27818
tuning,299,14882;69801;34226;26570;47532;7436;10290;39873;8620;31818
tuning,300,43010;26870;56806;31982;2668;816;41162;64522;93030;30172
tuning,301,85578;86459;76769;67090;44770;10795;85460;13766;85554;2660
tuning,302,96876;76720;98210;90119;10646;39296;2652;90208;35884;98376
tuning,303,78702;79952;4496;99714;33050;97389;10540;7188;70514;99089
tuning,304,55587;97389;94501;41536;6690;17280;51000;91798;59656;17502
tuning,305,5362;46104;2014;43512;26352;5490;4536;85152;78304;81768
tuning,306,93772;39640;32016;89838;89232;99538;39419;97576;39949;88748
tuning,307,99472;95769;81768;81338;72484;26172;16406;39854;17102;44768
tuning,308,99184;71126;77939;32814;47144;69524;69430;25309;23382;28188
tuning,309,90025;43146;75516;39640;88748;90476;89240;99539;98104;39419
tuning,310,23872;24362;99916;54014;24772;54086;23558;22816;9762;28812
tuning,311,99821;684;99681;59164;13890;34542;1476;40228;14160;3178
tuning,312,4094;3970;37719;40368;93134;7898;78258;4440;23844;79818
tuning,313,92190;17368;89001;83741;69878;39936;97654;68332;39419;39308
tuning,314,43844;53274;4934;5024;16210;11938;81411;54730;25635;67373
tuning,315,99384;6056;22587;57456;41040;35508;60112;32056;89125;85308
tuning,316,99654;80455;93680;13166;84748;40868;59461;32874;83160;28434
tuning,317,64674;52698;41564;33758;80850;4999;5118;91862;68932;81398
tuning,318,58958;46864;53212;63044;92826;33384;66988;7724;27124;52504
tuning,319,38296;74388;38354;9206;26943;39070;19384;9486;11328;30192
tuning,320,3960;3944;45046;29722;10595;10596;36908;76532;4094;82675
tuning,321,74676;74612;87994;70024;1652;75576;1874;3928;30076;29883
tuning,322,99990;98198;85926;2894;16778;972;38746;66952;99591;10150
tuning,323,45373;57350;9708;22926;50749;74486;25482;5638;71882;48690
tuning,324,46022;44898;44954;45341;45026;1000;84748;45930;10056;29880
tuning,325,37498;27370;49772;4522;27814;5630;63418;5212;70630;66160
tuning,326,83502;83276;63649;64750;65656;92157;64404;68794;68842;69697
tuning,327,84457;54404;946;6751;57216;90814;1034;10070;3294;5024
tuning,328,3944;3960;45046;29722;10595;10596;36908;76532;4094;11642
tuning,329,74388;38296;38354;9206;39070;26943;9486;19384;64026;51656
tuning,330,53274;85654;17623;81411;3979;3171;3894;25635;35776;23713
tuning,331,38296;3960;39070;73902;51656;72954;4094;3944;3970;96169
tuning,332,94002;95414;96372;14980;69461;22416;81840;4309;92037;91081
tuning,333,99891;52234;52744;73644;23859;73307;946;59296;11082;43712
tuning,334,60204;20848;84870;49188;44954;4776;23746;45930;21484;20318
tuning,335,43143;54720;65488;88114;25056;64376;16438;9994;50826;9148
tuning,336,20210;990;29918;4186;22710;146;40635;96464;35590;27434
tuning,337,79485;87946;79807;28298;30244;32958;57506;6078;3246;3954
tuning,338,96344;41660;41565;21100;58718;80708;41378;8290;17546;31264
tuning,339,81372;81598;4859;887;93530;4674;11982;87274;82604;2668
tuning,340,1175;36094;31082;80112;16728;64238;26000;59598;63652;20680
tuning,341,98276;89140;99952;97259;17819;90275;96876;81064;9170;16940
tuning,342,32080;48154;41570;62396;56930;35032;99324;35478;43528;70214
tuning,343,26512;56162;74757;43528;14780;87564;96988;44366;2652;31946
tuning,344,44292;10850;33904;39440;9410;83184;86150;94387;85983;69263
tuning,345,55587;97389;19119;41536;11450;39926;85998;40594;19314;96341
tuning,346,51536;20311;25354;98461;4372;59638;31412;25958;80771;65281
tuning,347,78928;12148;31850;3702;39044;7636;12422;7412;17784;83992
tuning,348,22718;51324;51498;74836;64308;42386;32112;96146;81778;18346
tuning,349,98700;98636;97758;98731;90614;90350;3040;6410;7410;7434
tuning,350,18126;95153;10006;77150;87064;6960;35592;89762;28206;11164
tuning,351,88702;81347;58619;87900;88460;58094;57962;87618;10900;20446
tuning,352,85936;73045;74110;89016;73902;73686;15840;89008;16040;15452
tuning,353,74388;38296;38354;9206;39070;26943;9486;19384;64026;26994
tuning,354,7336;72828;77660;76988;11856;16650;4832;8480;13900;2092
tuning,355,28286;9260;59171;3842;21547;93545;67750;60506;60503;8846
tuning,356,7338;36134;34628;26164;2;21660;38238;80455;92004;15552
tuning,357,44954;46022;45026;45930;44898;45875;1000;30359;38532;13166
tuning,358,79714;45500;46205;46283;85654;45957;46234;60352;45879;45054
tuning,359,38296;39070;38354;74388;72954;47282;79164;9206;94877;9486
tuning,360,8943;46701;56806;74949;1732;12924;56174;47278;51388;83704
tuning,361,83276;64750;63649;83502;65656;92157;68794;8252;64404;68842
tuning,362,43726;43920;11970;11910;13242;23338;53374;12090;95842;12262
tuning,363,87274;4859;887;81598;4674;81372;2668;36476;82604;51118
tuning,364,78552;97124;24682;33556;20376;53058;79328;26240;94988;1530
tuning,365,32160;72000;90720;31142;34504;99464;32270;32120;32356;52462
tuning,366,45616;8808;59598;1175;63652;10507;31139;8790;8688;7830
tuning,367,44292;33904;39440;32598;94387;86150;85983;81522;10850;9410
tuning,368,25126;13540;31818;90720;36664;13023;50990;28960;34504;65370
tuning,369,24362;99916;54014;9082;28812;23872;9762;39509;95153;54086
tuning,370,22568;90605;19012;10528;71694;20694;7150;38260;47480;49840
tuning,371,68974;89151;68140;69263;52604;69264;6536;74895;34390;20532
tuning,372,99994;97510;49240;33782;39028;23750;26402;8606;9895;31302
tuning,373,3296;76624;43726;79780;14952;68858;20505;26955;43920;35378
tuning,374,78930;2068;91243;92050;98424;78752;1340;96603;99516;4767
tuning,375,60204;84870;4776;49188;23746;50512;20848;30957;41415;44954
tuning,376,48814;85540;96344;53292;44310;88569;96150;81038;14674;77720
tuning,377,90452;97254;51174;55450;59432;4416;50031;50812;81268;63733
tuning,378,41060;24114;23061;14902;10316;59770;59734;59168;16210;90814
tuning,379,73307;61612;73438;53787;73590;9124;61632;73098;57543;78783
tuning,380,15604;2035;99859;77234;64533;5344;5130;92460;51148;5228
tuning,381,22718;88296;51498;18346;46424;21320;51324;46412;96146;45148
tuning,382,99709;54194;26372;3462;96912;82344;10174;23196;92164;22160
tuning,383,99498;34104;90647;48236;74508;70662;98080;15102;45604;28854
tuning,384,34008;34972;39105;4708;45688;68042;9373;43992;80360;88086
tuning,385,97806;97259;32442;96876;16402;14726;98276;558;20130;82230
tuning,386,1163;34298;1148;31227;33820;53890;93372;98282;93036;26842
tuning,387,496;3462;1330;2500;32536;32754;91025;7150;80668;90605
tuning,388,97662;32476;83398;39640;39419;89232;62246;32294;75354;39949
tuning,389,7434;7410;6410;98700;98636;97961;59096;3040;67790;51786
