configuration,gpu,data_center,cloud,campaign_mode,workload,engine,source_bundle_sha256,git_revision,rows,dimensions,batch,k,eligible_fraction,timing_scope,filter_scope,p50_completed_ns,p95_completed_ns,p99_completed_ns,p95_min_ns,p95_max_ns,throughput_qps,recall_at_k,collection_build_ns,binary_build_ns,peak_process_rss_bytes,qenlo_allocation_bytes,upload_bytes_per_call,readback_bytes_per_call,device_resident_ns,device_scoring_ns,device_selection_ns,upload_enqueue_ns,readback_completion_ns,backend_execution_ns,eligibility_materialization_ns,eligibility_transfer_bytes,mutation_p50_ns,mutation_p95_ns,actual_backend,rebuilt_fraction,deletion_correct,sample_count,qualified,status,failure_detail
a40-ca-mtl-secure,NVIDIA A40,CA-MTL-1,SECURE,common,c5-r100000-d128-b1-f001,baseline-gpu,f37e744c7ee4054a74c4b4181f2dde61dade4d677bbc5493b9a36b61d165a45d,unavailable,100000,128,1,10,0.01,batch-call-completion,corpus,155485.0,165776.0,174276.0,162796.0,166004.0,5753.007047343743,1.0,361323081,165482303535,408985600,54651200.0,4576.0,160.0,,,,6849.0,80009.0,126995.0,25208.0,4000.0,,,Wgpu,,,192,True,completed,
a40-ca-mtl-secure,NVIDIA A40,CA-MTL-1,SECURE,common,c5-r100000-d128-b1-f001,current-gpu,730c050065e6786972a7be4f9bcb619168becdc943ce1122d1583c61f66409e3,unavailable,100000,128,1,10,0.01,batch-call-completion,corpus,152235.0,158960.0,170618.0,156223.0,167743.0,5842.861000710455,1.0,409236735,167490689988,408608768,55176128.0,4576.0,192.0,,7392.0,31200.0,7228.0,100921.0,149438.0,0.0,4000.0,,,Wgpu,,,192,True,completed,
a40-ca-mtl-secure,NVIDIA A40,CA-MTL-1,SECURE,common,c6-r100000-d384-b16-f1,current-gpu,730c050065e6786972a7be4f9bcb619168becdc943ce1122d1583c61f66409e3,unavailable,100000,384,16,10,1.0,batch-call-completion,corpus,13158017.0,13768480.0,13768480.0,12770525.0,13791770.0,1089.1852077756932,1.0,610708941,167490689988,718311424,165519296.0,6794240.0,41472.0,,6848128.0,4695200.0,80477.0,11774141.0,12961369.0,0.0,400000.0,,,Wgpu,,,12,True,completed,
a40-eu-se-secure,NVIDIA A40,EU-SE-1,SECURE,common,c1-r1000-d128-b1-f1,baseline-cpu,f37e744c7ee4054a74c4b4181f2dde61dade4d677bbc5493b9a36b61d165a45d,unavailable,1000,128,1,10,1.0,batch-call-completion,corpus,29164.0,31366.0,35052.0,30815.0,33205.0,24403.79433244755,1.0,2443081,170427136731,5521408,,0.0,0.0,,,,,,28099.0,,0.0,,,Cpu,,,192,True,completed,
a40-eu-se-secure,NVIDIA A40,EU-SE-1,SECURE,common,c1-r1000-d128-b1-f1,baseline-gpu,f37e744c7ee4054a74c4b4181f2dde61dade4d677bbc5493b9a36b61d165a45d,unavailable,1000,128,1,10,1.0,batch-call-completion,corpus,191106.0,230417.0,245595.0,213152.0,234433.0,4909.206149915957,1.0,157888698,170427136731,251686912,1587200.0,4576.0,160.0,,,,6949.0,137580.0,185823.0,3191.0,4000.0,,,Wgpu,,,192,True,completed,
a40-eu-se-secure,NVIDIA A40,EU-SE-1,SECURE,common,c1-r1000-d128-b1-f1,current-gpu,730c050065e6786972a7be4f9bcb619168becdc943ce1122d1583c61f66409e3,unavailable,1000,128,1,10,1.0,batch-call-completion,corpus,148368.0,177931.0,281744.0,163666.0,179230.0,5718.414205112726,1.0,186897831,178540517984,257060864,2112128.0,4576.0,192.0,,7104.0,28768.0,6869.0,98349.0,146231.0,0.0,4000.0,,,Wgpu,,,192,True,completed,
a40-eu-se-secure,NVIDIA A40,EU-SE-1,SECURE,common,c2-r1000-d384-b16-f001,current-gpu,730c050065e6786972a7be4f9bcb619168becdc943ce1122d1583c61f66409e3,unavailable,1000,384,16,10,0.01,batch-call-completion,corpus,247710.0,357355.0,357355.0,267861.0,397683.0,23417.36998054163,1.0,172812609,178540517984,228143104,11079296.0,394880.0,41472.0,,8736.0,25856.0,11054.0,116703.0,211037.0,0.0,40.0,,,Wgpu,,,12,True,completed,
a40-eu-se-secure,NVIDIA A40,EU-SE-1,SECURE,common,c3-r10000-d128-b16-f1,current-gpu,730c050065e6786972a7be4f9bcb619168becdc943ce1122d1583c61f66409e3,unavailable,10000,128,16,10,1.0,batch-call-completion,corpus,422499.0,432978.0,432978.0,427651.0,564807.0,26943.545273786414,1.0,179216010,178540517984,240615424,14846528.0,772096.0,41472.0,,97408.0,124576.0,9888.0,296857.0,402237.0,0.0,40000.0,,,Wgpu,,,12,True,completed,
a40-eu-se-secure,NVIDIA A40,EU-SE-1,SECURE,common,c4-r10000-d384-b1-f001,baseline-cpu,f37e744c7ee4054a74c4b4181f2dde61dade4d677bbc5493b9a36b61d165a45d,unavailable,10000,384,1,10,0.01,batch-call-completion,corpus,16996.0,19008.0,20454.0,18114.0,19226.0,22804.001389618836,1.0,56754154,170427136731,62791680,,0.0,0.0,,,,,,14495.0,,0.0,,,Cpu,,,192,True,completed,
a40-eu-se-secure,NVIDIA A40,EU-SE-1,SECURE,common,c4-r10000-d384-b1-f001,baseline-gpu,f37e744c7ee4054a74c4b4181f2dde61dade4d677bbc5493b9a36b61d165a45d,unavailable,10000,384,1,10,0.01,batch-call-completion,corpus,134439.0,173274.0,196977.0,158047.0,193856.0,5880.320771498085,1.0,324584716,170427136731,273870848,16652224.0,2000.0,160.0,,,,6890.0,78929.0,126795.0,3290.0,400.0,,,Wgpu,,,192,True,completed,
a40-eu-se-secure,NVIDIA A40,EU-SE-1,SECURE,common,c4-r10000-d384-b1-f001,current-gpu,730c050065e6786972a7be4f9bcb619168becdc943ce1122d1583c61f66409e3,unavailable,10000,384,1,10,0.01,batch-call-completion,corpus,140835.0,158153.0,262154.0,148516.0,233231.0,5598.544798243317,1.0,237002107,178540517984,273674240,17178176.0,2000.0,192.0,,8288.0,25344.0,6793.0,93978.0,137857.0,0.0,400.0,,,Wgpu,,,192,True,completed,
a40-eu-se-secure,NVIDIA A40,EU-SE-1,SECURE,common,c5-r100000-d128-b1-f001,baseline-cpu,f37e744c7ee4054a74c4b4181f2dde61dade4d677bbc5493b9a36b61d165a45d,unavailable,100000,128,1,10,0.01,batch-call-completion,corpus,63619.0,69164.0,78927.0,69031.0,70027.0,13013.962558423033,1.0,205418620,170427136731,190685184,,0.0,0.0,,,,,,62192.0,,0.0,,,Cpu,,,192,True,completed,
a40-eu-se-secure,NVIDIA A40,EU-SE-1,SECURE,common,c5-r100000-d128-b1-f001,baseline-gpu,f37e744c7ee4054a74c4b4181f2dde61dade4d677bbc5493b9a36b61d165a45d,unavailable,100000,128,1,10,0.01,batch-call-completion,corpus,166928.0,200688.0,233110.0,172825.0,270212.0,5209.9075835659005,1.0,678791267,170427136731,408424448,54651200.0,4576.0,160.0,,,,7605.0,83396.0,137571.0,26123.0,4000.0,,,Wgpu,,,192,True,completed,
a40-eu-se-secure,NVIDIA A40,EU-SE-1,SECURE,common,c5-r100000-d128-b1-f001,current-gpu,730c050065e6786972a7be4f9bcb619168becdc943ce1122d1583c61f66409e3,unavailable,100000,128,1,10,0.01,batch-call-completion,corpus,156267.0,166598.0,238547.0,165099.0,168556.0,5668.136455779812,1.0,1086632259,178540517984,407957504,55176128.0,4576.0,192.0,,7200.0,31008.0,7284.0,105300.0,154461.0,0.0,4000.0,,,Wgpu,,,192,True,completed,
a40-eu-se-secure,NVIDIA A40,EU-SE-1,SECURE,common,c6-r100000-d384-b16-f1,current-gpu,730c050065e6786972a7be4f9bcb619168becdc943ce1122d1583c61f66409e3,unavailable,100000,384,16,10,1.0,batch-call-completion,corpus,13079476.0,13746546.0,13746546.0,12718009.0,13875326.0,1105.332238432668,1.0,865501246,178540517984,717860864,165519296.0,6794240.0,41472.0,,6848416.0,4697632.0,81613.0,11701696.0,12876062.0,0.0,400000.0,,,Wgpu,,,12,True,completed,
a6000-eu-se-community,NVIDIA RTX A6000,EU-SE-1,COMMUNITY,common,c1-r1000-d128-b1-f1,current-gpu,,,1000,128,1,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
a6000-eu-se-community,NVIDIA RTX A6000,EU-SE-1,COMMUNITY,common,c2-r1000-d384-b16-f001,current-gpu,,,1000,384,16,10,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
a6000-eu-se-community,NVIDIA RTX A6000,EU-SE-1,COMMUNITY,common,c3-r10000-d128-b16-f1,current-gpu,,,10000,128,16,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
a6000-eu-se-community,NVIDIA RTX A6000,EU-SE-1,COMMUNITY,common,c4-r10000-d384-b1-f001,current-gpu,,,10000,384,1,10,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
a6000-eu-se-community,NVIDIA RTX A6000,EU-SE-1,COMMUNITY,common,c5-r100000-d128-b1-f001,current-gpu,,,100000,128,1,10,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
a6000-eu-se-community,NVIDIA RTX A6000,EU-SE-1,COMMUNITY,common,c6-r100000-d384-b16-f1,current-gpu,,,100000,384,16,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
a6000-us-tx-community,NVIDIA RTX A6000,US-TX-1,COMMUNITY,common,c1-r1000-d128-b1-f1,current-gpu,,,1000,128,1,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
a6000-us-tx-community,NVIDIA RTX A6000,US-TX-1,COMMUNITY,common,c2-r1000-d384-b16-f001,current-gpu,,,1000,384,16,10,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
a6000-us-tx-community,NVIDIA RTX A6000,US-TX-1,COMMUNITY,common,c3-r10000-d128-b16-f1,current-gpu,,,10000,128,16,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
a6000-us-tx-community,NVIDIA RTX A6000,US-TX-1,COMMUNITY,common,c4-r10000-d384-b1-f001,current-gpu,,,10000,384,1,10,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
a6000-us-tx-community,NVIDIA RTX A6000,US-TX-1,COMMUNITY,common,c5-r100000-d128-b1-f001,current-gpu,,,100000,128,1,10,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
a6000-us-tx-community,NVIDIA RTX A6000,US-TX-1,COMMUNITY,common,c6-r100000-d384-b16-f1,current-gpu,,,100000,384,16,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
l4-eu-ro-secure,NVIDIA L4,EU-RO-1,SECURE,common,c1-r1000-d128-b1-f1,current-gpu,,,1000,128,1,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
l4-eu-ro-secure,NVIDIA L4,EU-RO-1,SECURE,common,c2-r1000-d384-b16-f001,current-gpu,,,1000,384,16,10,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
l4-eu-ro-secure,NVIDIA L4,EU-RO-1,SECURE,common,c3-r10000-d128-b16-f1,current-gpu,,,10000,128,16,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
l4-eu-ro-secure,NVIDIA L4,EU-RO-1,SECURE,common,c4-r10000-d384-b1-f001,current-gpu,,,10000,384,1,10,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
l4-eu-ro-secure,NVIDIA L4,EU-RO-1,SECURE,common,c5-r100000-d128-b1-f001,current-gpu,,,100000,128,1,10,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
l4-eu-ro-secure,NVIDIA L4,EU-RO-1,SECURE,common,c6-r100000-d384-b16-f1,current-gpu,,,100000,384,16,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
l4-eur-is-secure,NVIDIA L4,EUR-IS-1,SECURE,common,c1-r1000-d128-b1-f1,current-gpu,,,1000,128,1,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
l4-eur-is-secure,NVIDIA L4,EUR-IS-1,SECURE,common,c2-r1000-d384-b16-f001,current-gpu,,,1000,384,16,10,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
l4-eur-is-secure,NVIDIA L4,EUR-IS-1,SECURE,common,c3-r10000-d128-b16-f1,current-gpu,,,10000,128,16,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
l4-eur-is-secure,NVIDIA L4,EUR-IS-1,SECURE,common,c4-r10000-d384-b1-f001,current-gpu,,,10000,384,1,10,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
l4-eur-is-secure,NVIDIA L4,EUR-IS-1,SECURE,common,c5-r100000-d128-b1-f001,current-gpu,,,100000,128,1,10,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
l4-eur-is-secure,NVIDIA L4,EUR-IS-1,SECURE,common,c6-r100000-d384-b16-f1,current-gpu,,,100000,384,16,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
rtx3090-eu-cz-community,NVIDIA GeForce RTX 3090,EU-CZ-1,COMMUNITY,common,c1-r1000-d128-b1-f1,current-gpu,,,1000,128,1,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
rtx3090-eu-cz-community,NVIDIA GeForce RTX 3090,EU-CZ-1,COMMUNITY,common,c2-r1000-d384-b16-f001,current-gpu,,,1000,384,16,10,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
rtx3090-eu-cz-community,NVIDIA GeForce RTX 3090,EU-CZ-1,COMMUNITY,common,c3-r10000-d128-b16-f1,current-gpu,,,10000,128,16,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
rtx3090-eu-cz-community,NVIDIA GeForce RTX 3090,EU-CZ-1,COMMUNITY,common,c4-r10000-d384-b1-f001,current-gpu,,,10000,384,1,10,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
rtx3090-eu-cz-community,NVIDIA GeForce RTX 3090,EU-CZ-1,COMMUNITY,common,c5-r100000-d128-b1-f001,current-gpu,,,100000,128,1,10,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
rtx3090-eu-cz-community,NVIDIA GeForce RTX 3090,EU-CZ-1,COMMUNITY,common,c6-r100000-d384-b16-f1,current-gpu,,,100000,384,16,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
rtx4090-eur-is-community,NVIDIA GeForce RTX 4090,EUR-IS-1,COMMUNITY,common,c1-r1000-d128-b1-f1,current-gpu,,,1000,128,1,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
rtx4090-eur-is-community,NVIDIA GeForce RTX 4090,EUR-IS-1,COMMUNITY,common,c2-r1000-d384-b16-f001,current-gpu,,,1000,384,16,10,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
rtx4090-eur-is-community,NVIDIA GeForce RTX 4090,EUR-IS-1,COMMUNITY,common,c3-r10000-d128-b16-f1,current-gpu,,,10000,128,16,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
rtx4090-eur-is-community,NVIDIA GeForce RTX 4090,EUR-IS-1,COMMUNITY,common,c4-r10000-d384-b1-f001,current-gpu,,,10000,384,1,10,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
rtx4090-eur-is-community,NVIDIA GeForce RTX 4090,EUR-IS-1,COMMUNITY,common,c5-r100000-d128-b1-f001,current-gpu,,,100000,128,1,10,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
rtx4090-eur-is-community,NVIDIA GeForce RTX 4090,EUR-IS-1,COMMUNITY,common,c6-r100000-d384-b16-f1,current-gpu,,,100000,384,16,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
rtx4090-eu-ro-community,NVIDIA GeForce RTX 4090,EU-RO-1,COMMUNITY,reference,c1-r1000-d128-b1-f1,current-gpu,,,1000,128,1,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
rtx4090-eu-ro-community,NVIDIA GeForce RTX 4090,EU-RO-1,COMMUNITY,reference,c2-r1000-d384-b16-f001,current-gpu,,,1000,384,16,10,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
rtx4090-eu-ro-community,NVIDIA GeForce RTX 4090,EU-RO-1,COMMUNITY,reference,c3-r10000-d128-b16-f1,current-gpu,,,10000,128,16,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
rtx4090-eu-ro-community,NVIDIA GeForce RTX 4090,EU-RO-1,COMMUNITY,reference,c4-r10000-d384-b1-f001,current-gpu,,,10000,384,1,10,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
rtx4090-eu-ro-community,NVIDIA GeForce RTX 4090,EU-RO-1,COMMUNITY,reference,c5-r100000-d128-b1-f001,current-gpu,,,100000,128,1,10,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
rtx4090-eu-ro-community,NVIDIA GeForce RTX 4090,EU-RO-1,COMMUNITY,reference,c6-r100000-d384-b16-f1,current-gpu,,,100000,384,16,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable,
rtx4090-eu-ro-secure-reference-retry,NVIDIA GeForce RTX 4090,EU-RO-1,SECURE,reference,c1-r1000-d128-b1-f1,baseline-cpu,f37e744c7ee4054a74c4b4181f2dde61dade4d677bbc5493b9a36b61d165a45d,unavailable,1000,128,1,10,1.0,batch-call-completion,corpus,13395.0,14607.0,17052.0,14107.0,16160.0,53811.176581375956,1.0,1489987,75897845163,6103040,,0.0,0.0,,,,,,12804.0,,0.0,,,Cpu,,,192,True,completed,
rtx4090-eu-ro-secure-reference-retry,NVIDIA GeForce RTX 4090,EU-RO-1,SECURE,reference,c1-r1000-d128-b1-f1,baseline-gpu,f37e744c7ee4054a74c4b4181f2dde61dade4d677bbc5493b9a36b61d165a45d,unavailable,1000,128,1,10,1.0,batch-call-completion,corpus,74058.0,79148.0,82234.0,78758.0,80280.0,12446.088019512355,1.0,95375038,75897845163,245100544,1587200.0,4576.0,160.0,,,,3236.0,52719.0,71664.0,1403.0,4000.0,,,Wgpu,,,192,True,completed,
rtx4090-eu-ro-secure-reference-retry,NVIDIA GeForce RTX 4090,EU-RO-1,SECURE,reference,c1-r1000-d128-b1-f1,chroma,730c050065e6786972a7be4f9bcb619168becdc943ce1122d1583c61f66409e3,unavailable,1000,128,1,10,1.0,python-collection-query-including-bindings-serialization,corpus,334236.0,348742.0,354303.0,339125.0,348883.0,2552.62241070857,1.0,347271622,77325954651,,,,,,,,,,,,,,,,,,3,True,completed,
rtx4090-eu-ro-secure-reference-retry,NVIDIA GeForce RTX 4090,EU-RO-1,SECURE,reference,c1-r1000-d128-b1-f1,current-cpu,730c050065e6786972a7be4f9bcb619168becdc943ce1122d1583c61f66409e3,unavailable,1000,128,1,10,1.0,batch-call-completion,corpus,13255.0,14306.0,16891.0,13946.0,14587.0,53469.27897512759,1.0,1474558,77325954651,6090752,,0.0,0.0,,,,,,12703.0,,0.0,,,Cpu,,,192,True,completed,
rtx4090-eu-ro-secure-reference-retry,NVIDIA GeForce RTX 4090,EU-RO-1,SECURE,reference,c1-r1000-d128-b1-f1,current-gpu,730c050065e6786972a7be4f9bcb619168becdc943ce1122d1583c61f66409e3,unavailable,1000,128,1,10,1.0,batch-call-completion,corpus,89047.0,94266.0,99215.0,92773.0,96200.0,10442.359562093125,1.0,104552213,77325954651,251432960,2112128.0,4576.0,192.0,,4032.0,19744.0,3146.0,67356.0,87944.0,0.0,4000.0,,,Wgpu,,,192,True,completed,
rtx4090-eu-ro-secure-reference-retry,NVIDIA GeForce RTX 4090,EU-RO-1,SECURE,reference,c1-r1000-d128-b1-f1,faiss-flat,730c050065e6786972a7be4f9bcb619168becdc943ce1122d1583c61f66409e3,,1000,128,1,10,1.0,host query input through host-visible IDs and cosine distances,prefiltered canonical eligible rows; build_and_filter_prepare_ns reported separately,27502.0,31368.0,34855.0,30166.0,32912.0,16494.003656514436,1.0,26011682,77325954651,55734272,,,,,,,,,,,,,,,,,3,True,completed,
